Time,Open,Yesterday,Diff,MKT
2018-02-20 15:30,2413.97,2442.82,-28.85,-1.181012109
2018-02-20 15:20,2413.41,2442.82,-29.41,-1.203936434
2018-02-20 15:10,2411.63,2442.82,-31.19,-1.276803039
2018-02-20 15:00,2413.09,2442.82,-29.73,-1.217036049
2018-02-20 14:50,2413.36,2442.82,-29.46,-1.205983249
2018-02-20 14:40,2415.32,2442.82,-27.5,-1.125748111
2018-02-20 14:30,2418.63,2442.82,-24.19,-0.990248975
2018-02-20 14:20,2420.33,2442.82,-22.49,-0.920657273
2018-02-20 14:10,2422.36,2442.82,-20.46,-0.837556594
2018-02-20 14:00,2423.04,2442.82,-19.78,-0.809719914
2018-02-20 13:50,2425.04,2442.82,-17.78,-0.727847324
2018-02-20 13:40,2425.72,2442.82,-17.1,-0.700010643
2018-02-20 13:30,2423.03,2442.82,-19.79,-0.810129277
2018-02-20 13:20,2420.38,2442.82,-22.44,-0.918610458
2018-02-20 13:10,2423.51,2442.82,-19.31,-0.790479855
2018-02-20 13:00,2423.68,2442.82,-19.14,-0.783520685
2018-02-20 12:50,2424.17,2442.82,-18.65,-0.763461901
2018-02-20 12:40,2423.78,2442.82,-19.04,-0.779427056
2018-02-20 12:30,2425.09,2442.82,-17.73,-0.725800509
2018-02-20 12:20,2427.13,2442.82,-15.69,-0.642290468
2018-02-20 12:10,2426.88,2442.82,-15.94,-0.652524541
2018-02-20 12:00,2428.06,2442.82,-14.76,-0.604219713
2018-02-20 11:50,2426.73,2442.82,-16.09,-0.658664986
2018-02-20 11:40,2424.49,2442.82,-18.33,-0.750362286
2018-02-20 11:30,2422.23,2442.82,-20.59,-0.842878313
2018-02-20 11:20,2421.62,2442.82,-21.2,-0.867849453
2018-02-20 11:10,2418.21,2442.82,-24.61,-1.007442218
2018-02-20 11:00,2418.86,2442.82,-23.96,-0.980833627
2018-02-20 10:50,2424.36,2442.82,-18.46,-0.755684005
2018-02-20 10:40,2427.26,2442.82,-15.56,-0.636968749
2018-02-20 10:30,2427.38,2442.82,-15.44,-0.632056394
2018-02-20 10:20,2425.55,2442.82,-17.27,-0.706969814
2018-02-20 10:10,2426.02,2442.82,-16.8,-0.687729755
2018-02-20 10:00,2432.49,2442.82,-10.33,-0.422871927
2018-02-20 09:50,2434.6,2442.82,-8.22,-0.336496344
2018-02-20 09:40,2435.56,2442.82,-7.26,-0.297197501
2018-02-20 09:30,2433.66,2442.82,-9.16,-0.374976462
2018-02-20 09:20,2434.68,2442.82,-8.14,-0.333221441
2018-02-20 09:10,2432.46,2442.82,-10.36,-0.424100016
2018-02-20 09:00,2433.35,2442.82,-9.47,-0.387666713
2018-02-14 15:30,2420.51,2395.19,25.32,1.057118642
2018-02-14 15:20,2419.92,2395.19,24.73,1.032485941
2018-02-14 15:10,2418.24,2395.19,23.05,0.962345367
2018-02-14 15:00,2417.56,2395.19,22.37,0.933955135
2018-02-14 14:50,2419.39,2395.19,24.2,1.01035826
2018-02-14 14:40,2417.1,2395.19,21.91,0.914749978
2018-02-14 14:30,2419.9,2395.19,24.71,1.031650934
2018-02-14 14:20,2419.81,2395.19,24.62,1.027893403
2018-02-14 14:10,2415.92,2395.19,20.73,0.865484575
2018-02-14 14:00,2416.33,2395.19,21.14,0.882602215
2018-02-14 13:50,2414.71,2395.19,19.52,0.814966662
2018-02-14 13:40,2411.87,2395.19,16.68,0.696395693
2018-02-14 13:30,2410.9,2395.19,15.71,0.655897862
2018-02-14 13:20,2410.93,2395.19,15.74,0.657150372
2018-02-14 13:10,2411.38,2395.19,16.19,0.675938026
2018-02-14 13:00,2411.15,2395.19,15.96,0.666335447
2018-02-14 12:50,2412.25,2395.19,17.06,0.712260823
2018-02-14 12:40,2414.77,2395.19,19.58,0.817471683
2018-02-14 12:30,2412.32,2395.19,17.13,0.715183347
2018-02-14 12:20,2412.27,2395.19,17.08,0.71309583
2018-02-14 12:10,2409.07,2395.19,13.88,0.579494737
2018-02-14 12:00,2409.28,2395.19,14.09,0.588262309
2018-02-14 11:50,2411.51,2395.19,16.32,0.68136557
2018-02-14 11:40,2411.79,2395.19,16.6,0.693055666
2018-02-14 11:30,2412.79,2395.19,17.6,0.734806007
2018-02-14 11:20,2412.52,2395.19,17.33,0.723533415
2018-02-14 11:10,2415.57,2395.19,20.38,0.850871956
2018-02-14 11:00,2418.97,2395.19,23.78,0.992823116
2018-02-14 10:50,2420.2,2395.19,25.01,1.044176036
2018-02-14 10:40,2417.05,2395.19,21.86,0.912662461
2018-02-14 10:30,2417.52,2395.19,22.33,0.932285121
2018-02-14 10:20,2417.93,2395.19,22.74,0.949402761
2018-02-14 10:10,2412.84,2395.19,17.65,0.736893524
2018-02-14 10:00,2423.66,2395.19,28.47,1.188632217
2018-02-14 09:50,2424.68,2395.19,29.49,1.231217565
2018-02-14 09:40,2415.07,2395.19,19.88,0.829996785
2018-02-14 09:30,2410.25,2395.19,15.06,0.62876014
2018-02-14 09:20,2411.72,2395.19,16.53,0.690133142
2018-02-14 09:10,2415.6,2395.19,20.41,0.852124466
2018-02-14 09:00,2412.47,2395.19,17.28,0.721445898
